Specimen,Setting_cat,Organism_group,Organism,Total_isolates,Antibiotic,Susceptibility_%
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,CO-TRIMOXAZOLE,
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,COLISTIN BY MIC,98.6842155456543
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,ERTAPENEM,94.07894897460938
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,ERYTHROMYCIN,
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,GENTAMICIN,
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,IMIPENEM,94.73684692382812
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,LEVOFLOXACIN,44.07894515991211
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,MEROPENEM,94.73684692382812
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,PENICILLIN BY MIC,
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,PIPERACILLIN / TAZOBACTAM,77.63158416748047
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,TETRACYCLINE,
All Specimen,Outpatient,Gram negative,Klebsiella pneumoniae (all isolates),152.0,VANCOMYCIN,
All Specimen,Outpatient,Gram negative,Pseudomonas aeruginosa (all isolates),55.0,AMIKACIN,
